Region,Seed,Team
East,1,Duke
East,2,UConn
East,3,Michigan State
East,4,Kansas
East,5,St. John's (NY)
East,6,Louisville
East,7,UCLA
East,8,Ohio State
East,9,TCU
East,10,UCF
East,11,South Florida
East,12,Northern Iowa
East,13,California Baptist
East,14,North Dakota State
East,15,Furman
East,16,Siena
West,1,Arizona
West,2,Purdue
West,3,Gonzaga
West,4,Arkansas
West,5,Wisconsin
West,6,BYU
West,7,Miami (FL)
West,8,Villanova
West,9,Utah State
West,10,Missouri
West,11,Texas (First Four)
West,11,NC State (First Four)
West,12,High Point
West,13,Hawaii
West,14,Kennesaw State
West,15,Queens (NC)
West,16,LIU
Midwest,1,Michigan
Midwest,2,Iowa State
Midwest,3,Virginia
Midwest,4,Alabama
Midwest,5,Texas Tech
Midwest,6,Tennessee
Midwest,7,Kentucky
Midwest,8,Georgia
Midwest,9,Saint Louis
Midwest,10,Santa Clara
Midwest,11,SMU (First Four)
Midwest,11,Miami (OH) (First Four)
Midwest,12,Akron
Midwest,13,Hofstra
Midwest,14,Wright State
Midwest,15,Tennessee State
Midwest,16,UMBC (First Four)
Midwest,16,Howard (First Four)
South,1,Florida
South,2,Houston
South,3,Illinois
South,4,Nebraska
South,5,Vanderbilt
South,6,UNC
South,7,Saint Mary's
South,8,Clemson
South,9,Iowa
South,10,Texas A&M
South,11,VCU
South,12,McNeese
South,13,Troy
South,14,Penn
South,15,Idaho
South,16,Prairie View A&M (First Four)
South,16,Lehigh (First Four)
